date       ,state   ,district ,pincode ,bio_age_5_17 ,bio_age_17_
13-12-2025 ,Haryana ,Hisar    , 125048 ,           1 ,          1
02-01-2026 ,Haryana ,Hisar    , 125037 ,           2 ,          3
02-01-2026 ,Haryana ,Hisar    , 125112 ,           5 ,          8
01-01-2026 ,Haryana ,Hisar    , 125006 ,           2 ,          4
01-01-2026 ,Haryana ,Hisar    , 125038 ,           4 ,          7
01-01-2026 ,Haryana ,Hisar    , 125044 ,           7 ,         16
01-01-2026 ,Haryana ,Hisar    , 125112 ,           7 ,          9
03-01-2026 ,Haryana ,Hisar    , 125044 ,           1 ,          1
03-01-2026 ,Haryana ,Hisar    , 125113 ,           4 ,          3
03-01-2026 ,Haryana ,Hisar    , 125121 ,           2 ,          8
25-12-2025 ,Haryana ,Hisar    , 125037 ,           3 ,          4
29-12-2025 ,Haryana ,Hisar    , 125001 ,          47 ,         74
29-12-2025 ,Haryana ,Hisar    , 125049 ,           1 ,          6
28-12-2025 ,Haryana ,Hisar    , 125037 ,           0 ,          1
28-12-2025 ,Haryana ,Hisar    , 125039 ,           6 ,         14
28-12-2025 ,Haryana ,Hisar    , 125042 ,           6 ,          7
28-12-2025 ,Haryana ,Hisar    , 125050 ,           0 ,          1
28-12-2025 ,Haryana ,Hisar    , 125121 ,           6 ,          6
27-12-2025 ,Haryana ,Hisar    , 125004 ,           3 ,          3
27-12-2025 ,Haryana ,Hisar    , 125006 ,           5 ,          3
27-12-2025 ,Haryana ,Hisar    , 125038 ,           6 ,          5
27-12-2025 ,Haryana ,Hisar    , 125042 ,           9 ,         30
27-12-2025 ,Haryana ,Hisar    , 125052 ,          21 ,         42
27-12-2025 ,Haryana ,Hisar    , 125112 ,           8 ,          9
25-12-2025 ,Haryana ,Hisar    , 125005 ,           2 ,          0
29-11-2025 ,Haryana ,Hisar    , 125050 ,           0 ,          1
27-11-2025 ,Haryana ,Hisar    , 125048 ,           0 ,          1
30-11-2025 ,Haryana ,Hisar    , 125001 ,           2 ,         18
30-11-2025 ,Haryana ,Hisar    , 125037 ,           0 ,          1
30-11-2025 ,Haryana ,Hisar    , 125038 ,           0 ,          2
30-11-2025 ,Haryana ,Hisar    , 125047 ,           0 ,          1
16-12-2025 ,Haryana ,Hisar    , 125037 ,           0 ,          1
14-12-2025 ,Haryana ,Hisar    , 125047 ,           1 ,          2
06-12-2025 ,Haryana ,Hisar    , 125050 ,           0 ,          1
07-12-2025 ,Haryana ,Hisar    , 125039 ,           1 ,          7
08-12-2025 ,Haryana ,Hisar    , 125006 ,           1 ,          2
16-11-2025 ,Haryana ,Hisar    , 125112 ,           0 ,          3
16-11-2025 ,Haryana ,Hisar    , 125121 ,           0 ,          1
11-11-2025 ,Haryana ,Hisar    , 125050 ,           0 ,          1
02-11-2025 ,Haryana ,Hisar    , 125113 ,           0 ,          2
05-11-2025 ,Haryana ,Hisar    , 125044 ,           0 ,          1
05-11-2025 ,Haryana ,Hisar    , 125047 ,           0 ,          3
05-11-2025 ,Haryana ,Hisar    , 125048 ,           0 ,          1
01-11-2025 ,Haryana ,Hisar    , 125053 ,           0 ,          1
09-11-2025 ,Haryana ,Hisar    , 125112 ,           1 ,          0
20-11-2025 ,Haryana ,Hisar    , 125048 ,           0 ,          1
14-11-2025 ,Haryana ,Hisar    , 125053 ,           0 ,          2
01-03-2025 ,Haryana ,Hisar    , 125113 ,         289 ,        340
01-03-2025 ,Haryana ,Hisar    , 125033 ,         546 ,        976
01-03-2025 ,Haryana ,Hisar    , 125049 ,         115 ,        191
01-03-2025 ,Haryana ,Hisar    , 125047 ,         147 ,        198
01-03-2025 ,Haryana ,Hisar    , 125006 ,          79 ,        103
01-03-2025 ,Haryana ,Hisar    , 125001 ,        1271 ,       2314
01-03-2025 ,Haryana ,Hisar    , 125004 ,         107 ,        247
01-04-2025 ,Haryana ,Hisar    , 125001 ,        1920 ,       2526
01-04-2025 ,Haryana ,Hisar    , 125006 ,         134 ,        151
01-05-2025 ,Haryana ,Hisar    , 125052 ,         678 ,        678
01-05-2025 ,Haryana ,Hisar    , 125038 ,          70 ,        105
01-05-2025 ,Haryana ,Hisar    , 125005 ,         108 ,        156
19-10-2025 ,Haryana ,Hisar    , 125005 ,           3 ,          5
19-10-2025 ,Haryana ,Hisar    , 125006 ,           4 ,          3
29-10-2025 ,Haryana ,Hisar    , 125053 ,           0 ,          1
01-11-2025 ,Haryana ,Hisar    , 127041 ,           0 ,          1
05-11-2025 ,Haryana ,Hisar    , 125037 ,           0 ,          7
16-11-2025 ,Haryana ,Hisar    , 125050 ,           2 ,          1
26-10-2025 ,Haryana ,Hisar    , 125049 ,           0 ,          4
20-10-2025 ,Haryana ,Hisar    , 125049 ,           0 ,          4
19-10-2025 ,Haryana ,Hisar    , 125044 ,           0 ,          4
