date,state,district,pincode,bio_age_5_17,bio_age_17_
25-11-2025,Sikkim,East Sikkim,737107,1,0
03-12-2025,Sikkim,East Sikkim,737134,3,1
04-12-2025,Sikkim,East Sikkim,737131,1,0
04-12-2025,Sikkim,East Sikkim,737135,1,0
09-12-2025,Sikkim,East Sikkim,737133,1,0
15-12-2025,Sikkim,East Sikkim,737134,1,2
14-12-2025,Sikkim,East Sikkim,737107,1,0
15-12-2025,Sikkim,East Sikkim,737107,0,1
06-12-2025,Sikkim,East Sikkim,737102,0,4
16-12-2025,Sikkim,East Sikkim,737133,3,0
20-12-2025,Sikkim,East Sikkim,737135,1,0
27-12-2025,Sikkim,East Sikkim,737102,1,0
27-12-2025,Sikkim,East Sikkim,737133,0,2
27-12-2025,Sikkim,East Sikkim,737134,0,1
27-12-2025,Sikkim,East Sikkim,737135,1,1
01-01-2026,Sikkim,East Sikkim,737132,0,1
01-01-2026,Sikkim,East Sikkim,737135,0,1
25-12-2025,Sikkim,East Sikkim,737135,0,1
29-12-2025,Sikkim,East Sikkim,737107,1,0
23-12-2025,Sikkim,East Sikkim,737107,0,1
23-12-2025,Sikkim,East Sikkim,737131,0,1
25-12-2025,Sikkim,East Sikkim,737101,0,1
19-12-2025,Sikkim,East Sikkim,737101,0,7
19-12-2025,Sikkim,East Sikkim,737102,0,4
19-12-2025,Sikkim,East Sikkim,737103,0,2
02-01-2026,Sikkim,East Sikkim,737131,0,1
28-11-2025,Sikkim,East Sikkim,737103,0,4
28-11-2025,Sikkim,East Sikkim,737106,0,3
30-11-2025,Sikkim,East Sikkim,737133,0,1
23-11-2025,Sikkim,East Sikkim,737101,0,1
23-11-2025,Sikkim,East Sikkim,737103,0,1
01-03-2025,Sikkim,East Sikkim,737131,22,15
01-03-2025,Sikkim,East Sikkim,737102,62,31
01-03-2025,Sikkim,East Sikkim,737106,33,19
01-04-2025,Sikkim,East Sikkim,737107,16,16
01-05-2025,Sikkim,East Sikkim,737135,24,28
01-05-2025,Sikkim,East Sikkim,737133,22,14
01-05-2025,Sikkim,East Sikkim,737107,29,10
01-06-2025,Sikkim,East Sikkim,737106,14,14
01-06-2025,Sikkim,East Sikkim,737134,39,28
01-06-2025,Sikkim,East Sikkim,737131,18,12
19-10-2025,Sikkim,East Sikkim,737135,2,0
18-10-2025,Sikkim,East Sikkim,737134,0,1
25-10-2025,Sikkim,East Sikkim,737103,1,0
02-11-2025,Sikkim,East Sikkim,737106,2,0
06-11-2025,Sikkim,East Sikkim,737133,1,0
08-11-2025,Sikkim,East Sikkim,737106,2,0
08-11-2025,Sikkim,East Sikkim,737107,2,0
11-11-2025,Sikkim,East Sikkim,737107,1,1
16-11-2025,Sikkim,East Sikkim,737131,1,1
16-11-2025,Sikkim,East Sikkim,737134,1,1
14-11-2025,Sikkim,East Sikkim,737107,0,1
07-11-2025,Sikkim,East Sikkim,737133,1,1
18-11-2025,Sikkim,East Sikkim,737107,0,1
16-11-2025,Sikkim,East Sikkim,737135,0,2
03-11-2025,Sikkim,East Sikkim,737131,0,2
06-11-2025,Sikkim,East Sikkim,737106,0,7
04-11-2025,Sikkim,East Sikkim,737107,1,2
04-11-2025,Sikkim,East Sikkim,737133,0,3
01-11-2025,Sikkim,East Sikkim,737135,1,3
09-08-2025,Sikkim,East Sikkim,737102,1,0
23-07-2025,Sikkim,East Sikkim,737135,0,5
16-07-2025,Sikkim,East Sikkim,737133,0,3
17-07-2025,Sikkim,East Sikkim,737106,0,2
28-07-2025,Sikkim,East Sikkim,737133,0,1
27-07-2025,Sikkim,East Sikkim,737101,0,1
14-07-2025,Sikkim,East Sikkim,737133,1,2
07-10-2025,Sikkim,East Sikkim,737134,1,4
06-10-2025,Sikkim,East Sikkim,737134,0,5
04-10-2025,Sikkim,East Sikkim,737107,0,1
20-09-2025,Sikkim,East Sikkim,737107,0,1
18-09-2025,Sikkim,East Sikkim,737107,0,2
14-09-2025,Sikkim,East Sikkim,737131,0,1
10-08-2025,Sikkim,East Sikkim,737138,0,1
05-07-2025,Sikkim,East Sikkim,737132,0,1
01-07-2025,Sikkim,East Sikkim,737138,0,1
09-07-2025,Sikkim,East Sikkim,737131,1,2
26-06-2025,Sikkim,East Sikkim,737103,0,1
25-06-2025,Sikkim,East Sikkim,737134,0,5
09-10-2025,Sikkim,East Sikkim,737133,1,1
08-10-2025,Sikkim,East Sikkim,737106,3,1
08-10-2025,Sikkim,East Sikkim,737135,11,1
10-10-2025,Sikkim,East Sikkim,737103,2,1
11-10-2025,Sikkim,East Sikkim,737101,1,2
11-10-2025,Sikkim,East Sikkim,737135,0,1
14-10-2025,Sikkim,East Sikkim,737101,5,4
14-10-2025,Sikkim,East Sikkim,737132,1,0
14-10-2025,Sikkim,East Sikkim,737134,2,2
13-10-2025,Sikkim,East Sikkim,737131,0,3
13-10-2025,Sikkim,East Sikkim,737135,0,2
30-09-2025,Sikkim,East Sikkim,737101,1,0
03-10-2025,Sikkim,East Sikkim,737132,0,1
07-10-2025,Sikkim,East Sikkim,737103,0,1
24-09-2025,Sikkim,East Sikkim,737103,2,1
24-09-2025,Sikkim,East Sikkim,737134,3,2
24-09-2025,Sikkim,East Sikkim,737135,5,0
23-09-2025,Sikkim,East Sikkim,737102,2,2
23-09-2025,Sikkim,East Sikkim,737131,1,2
23-09-2025,Sikkim,East Sikkim,737134,1,3
25-09-2025,Sikkim,East Sikkim,737106,2,5
25-09-2025,Sikkim,East Sikkim,737107,1,1
08-09-2025,Sikkim,East Sikkim,737102,1,1
08-09-2025,Sikkim,East Sikkim,737106,2,1
10-09-2025,Sikkim,East Sikkim,737101,21,7
10-09-2025,Sikkim,East Sikkim,737106,1,0
10-09-2025,Sikkim,East Sikkim,737134,1,4
10-09-2025,Sikkim,East Sikkim,737135,1,1
11-09-2025,Sikkim,East Sikkim,737106,0,1
11-09-2025,Sikkim,East Sikkim,737135,0,2
18-09-2025,Sikkim,East Sikkim,737132,1,0
19-09-2025,Sikkim,East Sikkim,737133,0,1
09-09-2025,Sikkim,East Sikkim,737102,7,0
09-09-2025,Sikkim,East Sikkim,737134,2,1
17-09-2025,Sikkim,East Sikkim,737107,3,2
25-10-2025,Sikkim,East Sikkim,737106,1,0
23-10-2025,Sikkim,East Sikkim,737102,1,0
22-10-2025,Sikkim,East Sikkim,737131,0,1
16-10-2025,Sikkim,East Sikkim,737106,2,0
28-10-2025,Sikkim,East Sikkim,737102,1,1
28-10-2025,Sikkim,East Sikkim,737134,1,0
31-10-2025,Sikkim,East Sikkim,737133,1,0
31-10-2025,Sikkim,East Sikkim,737134,1,1
04-11-2025,Sikkim,East Sikkim,737102,3,2
04-11-2025,Sikkim,East Sikkim,737106,1,0
05-11-2025,Sikkim,East Sikkim,737133,2,2
05-11-2025,Sikkim,East Sikkim,737134,6,1
17-10-2025,Sikkim,East Sikkim,737103,1,1
