date     ,state       ,district ,pincode ,bio_age_5_17 ,bio_age_17_ ,total_biometric ,month ,year
12/28/25 ,Maharashtra ,Nagpur   , 440006 ,           0 ,          2 ,              2 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 440022 ,           3 ,          4 ,              7 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 440026 ,          17 ,          8 ,             25 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 440027 ,           2 ,          6 ,              8 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 440033 ,           1 ,          3 ,              4 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 440034 ,           4 ,          8 ,             12 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 440036 ,           0 ,          7 ,              7 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 441002 ,           0 ,          3 ,              3 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 441102 ,           3 ,          5 ,              8 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 441103 ,           2 ,          7 ,              9 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 441201 ,           0 ,          3 ,              3 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 441204 ,           0 ,          4 ,              4 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 441214 ,           0 ,          3 ,              3 ,   12 ,2025
12/28/25 ,Maharashtra ,Nagpur   , 441401 ,           4 ,          5 ,              9 ,   12 ,2025
1/1/26   ,Maharashtra ,Nagpur   , 440014 ,          17 ,         21 ,             38 ,    1 ,2026
1/1/26   ,Maharashtra ,Nagpur   , 440015 ,          15 ,         25 ,             40 ,    1 ,2026
1/1/26   ,Maharashtra ,Nagpur   , 440032 ,          12 ,         13 ,             25 ,    1 ,2026
1/1/26   ,Maharashtra ,Nagpur   , 441001 ,           1 ,          3 ,              4 ,    1 ,2026
1/1/26   ,Maharashtra ,Nagpur   , 441109 ,           0 ,          4 ,              4 ,    1 ,2026
1/1/26   ,Maharashtra ,Nagpur   , 441110 ,          22 ,         44 ,             66 ,    1 ,2026
1/1/26   ,Maharashtra ,Nagpur   , 441111 ,          11 ,         16 ,             27 ,    1 ,2026
1/1/26   ,Maharashtra ,Nagpur   , 441210 ,           5 ,         39 ,             44 ,    1 ,2026
1/1/26   ,Maharashtra ,Nagpur   , 441301 ,           4 ,         19 ,             23 ,    1 ,2026
12/29/25 ,Maharashtra ,Nagpur   , 440008 ,          13 ,         22 ,             35 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 440009 ,          15 ,         11 ,             26 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 440014 ,           2 ,          8 ,             10 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 440015 ,           9 ,          8 ,             17 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 440018 ,           6 ,         11 ,             17 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 440019 ,           3 ,          5 ,              8 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 440026 ,          11 ,         21 ,             32 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 440032 ,           3 ,          3 ,              6 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 440033 ,           1 ,          6 ,              7 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 441102 ,           7 ,          7 ,             14 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 441103 ,           3 ,         14 ,             17 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 441104 ,           7 ,         10 ,             17 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 441109 ,           0 ,          2 ,              2 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 441110 ,          16 ,         16 ,             32 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 441112 ,           7 ,          4 ,             11 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 441201 ,          11 ,         26 ,             37 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 441302 ,          16 ,         12 ,             28 ,   12 ,2025
12/29/25 ,Maharashtra ,Nagpur   , 441306 ,          23 ,          9 ,             32 ,   12 ,2025
1/3/26   ,Maharashtra ,Nagpur   , 440014 ,           5 ,          3 ,              8 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 440018 ,           1 ,          6 ,              7 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 440023 ,           6 ,          8 ,             14 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 440024 ,           5 ,          5 ,             10 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 440027 ,           3 ,          2 ,              5 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 440036 ,           1 ,          5 ,              6 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 441002 ,           0 ,          3 ,              3 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 441103 ,           2 ,          8 ,             10 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 441104 ,           1 ,          2 ,              3 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 441105 ,           1 ,          4 ,              5 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 441106 ,           6 ,         10 ,             16 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 441113 ,           1 ,          2 ,              3 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 441123 ,           0 ,          1 ,              1 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 441201 ,           0 ,          4 ,              4 ,    1 ,2026
1/3/26   ,Maharashtra ,Nagpur   , 441401 ,           5 ,          9 ,             14 ,    1 ,2026
1/2/26   ,Maharashtra ,Nagpur   , 440001 ,           5 ,         13 ,             18 ,    1 ,2026
1/2/26   ,Maharashtra ,Nagpur   , 440005 ,           1 ,          1 ,              2 ,    1 ,2026
1/2/26   ,Maharashtra ,Nagpur   , 440007 ,           0 ,          2 ,              2 ,    1 ,2026
1/2/26   ,Maharashtra ,Nagpur   , 440008 ,          28 ,         49 ,             77 ,    1 ,2026
1/2/26   ,Maharashtra ,Nagpur   , 440012 ,           2 ,          6 ,              8 ,    1 ,2026
1/2/26   ,Maharashtra ,Nagpur   , 440023 ,          34 ,         39 ,             73 ,    1 ,2026
1/2/26   ,Maharashtra ,Nagpur   , 440035 ,          17 ,         37 ,             54 ,    1 ,2026
1/2/26   ,Maharashtra ,Nagpur   , 441106 ,          15 ,         66 ,             81 ,    1 ,2026
1/2/26   ,Maharashtra ,Nagpur   , 441201 ,           4 ,         32 ,             36 ,    1 ,2026
1/2/26   ,Maharashtra ,Nagpur   , 441202 ,           8 ,         21 ,             29 ,    1 ,2026
