date,state,district,pincode,demo_age_5_17,demo_age_17_
01-09-2025,Sikkim,East Sikkim,737106,1,6
01-09-2025,Sikkim,East Sikkim,737131,1,6
04-09-2025,Sikkim,East Sikkim,737101,1,13
04-09-2025,Sikkim,East Sikkim,737102,0,2
04-09-2025,Sikkim,East Sikkim,737135,1,12
03-09-2025,Sikkim,East Sikkim,737106,1,2
05-09-2025,Sikkim,East Sikkim,737103,0,4
06-09-2025,Sikkim,East Sikkim,737102,0,2
08-09-2025,Sikkim,East Sikkim,737101,2,6
09-09-2025,Sikkim,East Sikkim,737103,0,5
09-09-2025,Sikkim,East Sikkim,737107,1,2
09-09-2025,Sikkim,East Sikkim,737132,0,1
10-09-2025,Sikkim,East Sikkim,737103,0,5
12-09-2025,Sikkim,East Sikkim,737101,0,6
12-09-2025,Sikkim,East Sikkim,737102,1,2
12-09-2025,Sikkim,East Sikkim,737134,1,10
12-09-2025,Sikkim,East Sikkim,737135,0,11
11-09-2025,Sikkim,East Sikkim,737103,0,4
11-09-2025,Sikkim,East Sikkim,737133,2,5
13-09-2025,Sikkim,East Sikkim,737102,0,1
14-09-2025,Sikkim,East Sikkim,737135,0,2
15-09-2025,Sikkim,East Sikkim,737103,1,7
17-09-2025,Sikkim,East Sikkim,737102,0,2
17-09-2025,Sikkim,East Sikkim,737132,0,3
16-09-2025,Sikkim,East Sikkim,737107,0,1
16-09-2025,Sikkim,East Sikkim,737133,1,1
18-09-2025,Sikkim,East Sikkim,737101,0,7
18-09-2025,Sikkim,East Sikkim,737102,0,5
18-09-2025,Sikkim,East Sikkim,737103,0,4
18-09-2025,Sikkim,East Sikkim,737106,0,2
18-09-2025,Sikkim,East Sikkim,737135,0,3
19-09-2025,Sikkim,East Sikkim,737103,0,1
19-09-2025,Sikkim,East Sikkim,737106,1,4
19-09-2025,Sikkim,East Sikkim,737134,1,1
13-10-2025,Sikkim,East Sikkim,737101,0,3
13-10-2025,Sikkim,East Sikkim,737134,0,2
15-10-2025,Sikkim,East Sikkim,737103,0,4
15-10-2025,Sikkim,East Sikkim,737106,1,8
15-10-2025,Sikkim,East Sikkim,737133,0,1
15-10-2025,Sikkim,East Sikkim,737134,0,6
15-10-2025,Sikkim,East Sikkim,737135,0,3
16-10-2025,Sikkim,East Sikkim,737101,0,9
13-11-2025,Sikkim,East Sikkim,737103,0,2
15-11-2025,Sikkim,East Sikkim,737131,0,3
16-11-2025,Sikkim,East Sikkim,737101,0,2
16-11-2025,Sikkim,East Sikkim,737132,0,1
07-12-2025,Sikkim,East Sikkim,737135,0,1
09-12-2025,Sikkim,East Sikkim,737132,0,1
09-12-2025,Sikkim,East Sikkim,737134,0,3
11-12-2025,Sikkim,East Sikkim,737107,0,1
13-12-2025,Sikkim,East Sikkim,737138,0,1
14-12-2025,Sikkim,East Sikkim,737103,0,1
14-12-2025,Sikkim,East Sikkim,737135,0,4
26-10-2025,Sikkim,East Sikkim,737103,0,2
20-10-2025,Sikkim,East Sikkim,737106,0,1
17-10-2025,Sikkim,East Sikkim,737102,1,2
17-10-2025,Sikkim,East Sikkim,737135,2,4
19-10-2025,Sikkim,East Sikkim,737138,0,1
27-10-2025,Sikkim,East Sikkim,737101,0,1
27-10-2025,Sikkim,East Sikkim,737106,0,1
29-10-2025,Sikkim,East Sikkim,737107,0,1
28-10-2025,Sikkim,East Sikkim,737101,0,6
28-10-2025,Sikkim,East Sikkim,737106,1,0
31-10-2025,Sikkim,East Sikkim,737131,0,4
01-11-2025,Sikkim,East Sikkim,737101,0,1
01-11-2025,Sikkim,East Sikkim,737107,0,1
08-11-2025,Sikkim,East Sikkim,737132,0,2
29-12-2025,Sikkim,East Sikkim,737131,0,2
29-12-2025,Sikkim,East Sikkim,737134,0,1
03-01-2026,Sikkim,East Sikkim,737102,0,1
03-01-2026,Sikkim,East Sikkim,737106,0,3
08-12-2025,Sikkim,East Sikkim,737133,0,8
08-12-2025,Sikkim,East Sikkim,737134,2,14
08-12-2025,Sikkim,East Sikkim,737135,1,6
10-12-2025,Sikkim,East Sikkim,737134,1,7
11-12-2025,Sikkim,East Sikkim,737101,1,10
11-12-2025,Sikkim,East Sikkim,737103,0,2
27-12-2025,Sikkim,East Sikkim,737101,0,2
22-12-2025,Sikkim,East Sikkim,737106,0,1
17-12-2025,Sikkim,East Sikkim,737102,2,3
17-12-2025,Sikkim,East Sikkim,737103,0,1
17-12-2025,Sikkim,East Sikkim,737132,0,2
16-12-2025,Sikkim,East Sikkim,737102,0,2
16-12-2025,Sikkim,East Sikkim,737103,0,9
16-12-2025,Sikkim,East Sikkim,737106,2,7
16-12-2025,Sikkim,East Sikkim,737132,0,3
16-12-2025,Sikkim,East Sikkim,737134,1,5
16-12-2025,Sikkim,East Sikkim,737135,0,5
25-12-2025,Sikkim,East Sikkim,737134,0,1
31-12-2025,Sikkim,East Sikkim,737106,0,7
31-12-2025,Sikkim,East Sikkim,737135,0,6
02-01-2026,Sikkim,East Sikkim,737101,1,1
02-01-2026,Sikkim,East Sikkim,737133,0,2
02-01-2026,Sikkim,East Sikkim,737134,0,2
26-12-2025,Sikkim,East Sikkim,737106,0,1
26-12-2025,Sikkim,East Sikkim,737134,0,2
19-12-2025,Sikkim,East Sikkim,737133,1,0
12-12-2025,Sikkim,East Sikkim,737103,0,4
03-12-2025,Sikkim,East Sikkim,737106,0,2
03-12-2025,Sikkim,East Sikkim,737138,0,1
06-12-2025,Sikkim,East Sikkim,737134,0,8
06-12-2025,Sikkim,East Sikkim,737138,0,1
06-11-2025,Sikkim,East Sikkim,737107,0,2
06-11-2025,Sikkim,East Sikkim,737131,0,2
05-11-2025,Sikkim,East Sikkim,737101,0,2
04-11-2025,Sikkim,East Sikkim,737103,0,2
04-11-2025,Sikkim,East Sikkim,737134,0,2
04-11-2025,Sikkim,East Sikkim,737135,0,2
07-11-2025,Sikkim,East Sikkim,737101,0,8
