date     ,state       ,district ,pincode ,demo_age_5_17 ,demo_age_17_ ,total_biometric ,month ,year
3/1/25   ,Maharashtra ,Nagpur   , 440016 ,           30 ,         295 ,            325 ,    3 ,2025
3/1/25   ,Maharashtra ,Nagpur   , 440002 ,           46 ,         709 ,            755 ,    3 ,2025
3/1/25   ,Maharashtra ,Nagpur   , 441106 ,           41 ,         661 ,            702 ,    3 ,2025
3/1/25   ,Maharashtra ,Nagpur   , 441111 ,           38 ,         281 ,            319 ,    3 ,2025
3/1/25   ,Maharashtra ,Nagpur   , 440017 ,           82 ,         722 ,            804 ,    3 ,2025
3/1/25   ,Maharashtra ,Nagpur   , 441110 ,           84 ,         694 ,            778 ,    3 ,2025
3/1/25   ,Maharashtra ,Nagpur   , 440012 ,           16 ,         110 ,            126 ,    3 ,2025
4/1/25   ,Maharashtra ,Nagpur   , 440034 ,          167 ,        1278 ,           1445 ,    4 ,2025
5/1/25   ,Maharashtra ,Nagpur   , 440034 ,          219 ,        1319 ,           1538 ,    5 ,2025
6/1/25   ,Maharashtra ,Nagpur   , 440026 ,          172 ,        1089 ,           1261 ,    6 ,2025
7/1/25   ,Maharashtra ,Nagpur   , 441104 ,           36 ,         346 ,            382 ,    7 ,2025
7/1/25   ,Maharashtra ,Nagpur   , 440027 ,           79 ,         660 ,            739 ,    7 ,2025
3/1/25   ,Maharashtra ,Nagpur   , 440014 ,           49 ,         522 ,            571 ,    3 ,2025
3/1/25   ,Maharashtra ,Nagpur   , 440035 ,          105 ,        1032 ,           1137 ,    3 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 440004 ,            0 ,           4 ,              4 ,    9 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 440009 ,            2 ,          12 ,             14 ,    9 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 440015 ,            0 ,          12 ,             12 ,    9 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 440025 ,            0 ,           6 ,              6 ,    9 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 440026 ,            1 ,          20 ,             21 ,    9 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 440033 ,            0 ,           7 ,              7 ,    9 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 440035 ,            8 ,          19 ,             27 ,    9 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 441104 ,            1 ,           5 ,              6 ,    9 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 441107 ,            0 ,           7 ,              7 ,    9 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 441112 ,            0 ,           2 ,              2 ,    9 ,2025
9/1/25   ,Maharashtra ,Nagpur   , 441203 ,            1 ,           2 ,              3 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 440002 ,            2 ,          23 ,             25 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 440003 ,            2 ,          10 ,             12 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 440013 ,            2 ,          21 ,             23 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 440017 ,            2 ,          32 ,             34 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 440029 ,            0 ,           1 ,              1 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 440032 ,            0 ,           4 ,              4 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 440033 ,            0 ,           1 ,              1 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 441102 ,            3 ,          11 ,             14 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 441103 ,            0 ,          16 ,             16 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 441104 ,            0 ,          23 ,             23 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 441107 ,            2 ,          16 ,             18 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 441202 ,            0 ,           9 ,              9 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 441302 ,            1 ,           7 ,              8 ,    9 ,2025
9/2/25   ,Maharashtra ,Nagpur   , 441401 ,            0 ,          27 ,             27 ,    9 ,2025
9/3/25   ,Maharashtra ,Nagpur   , 440004 ,            0 ,           5 ,              5 ,    9 ,2025
9/3/25   ,Maharashtra ,Nagpur   , 440008 ,            3 ,          25 ,             28 ,    9 ,2025
9/3/25   ,Maharashtra ,Nagpur   , 440010 ,            1 ,           7 ,              8 ,    9 ,2025
9/3/25   ,Maharashtra ,Nagpur   , 440023 ,            6 ,          36 ,             42 ,    9 ,2025
