date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Haryana,Hisar,125001,21,3,0
01-09-2025,Haryana,Hisar,125037,1,0,0
01-09-2025,Haryana,Hisar,125038,1,0,0
01-09-2025,Haryana,Hisar,125121,5,0,0
03-09-2025,Haryana,Hisar,125001,13,2,0
03-09-2025,Haryana,Hisar,125037,1,0,0
03-09-2025,Haryana,Hisar,125044,1,0,0
03-09-2025,Haryana,Hisar,125049,2,0,0
02-09-2025,Haryana,Hisar,125004,1,0,0
02-09-2025,Haryana,Hisar,125039,2,0,0
05-09-2025,Haryana,Hisar,125005,2,0,0
05-09-2025,Haryana,Hisar,125037,2,0,0
05-09-2025,Haryana,Hisar,125047,2,0,0
06-09-2025,Haryana,Hisar,125038,3,0,0
06-09-2025,Haryana,Hisar,125049,1,0,0
04-09-2025,Haryana,Hisar,125001,15,1,0
08-09-2025,Haryana,Hisar,125004,2,0,0
08-09-2025,Haryana,Hisar,125005,1,0,0
08-09-2025,Haryana,Hisar,125033,16,0,0
08-09-2025,Haryana,Hisar,125042,3,0,0
08-09-2025,Haryana,Hisar,125052,10,1,0
08-09-2025,Haryana,Hisar,125121,8,0,0
09-09-2025,Haryana,Hisar,125033,19,0,0
09-09-2025,Haryana,Hisar,125038,3,0,0
09-09-2025,Haryana,Hisar,125039,9,0,0
09-09-2025,Haryana,Hisar,125042,2,0,0
10-09-2025,Haryana,Hisar,125004,4,0,0
11-09-2025,Haryana,Hisar,125001,14,2,0
11-09-2025,Haryana,Hisar,125039,4,0,0
12-09-2025,Haryana,Hisar,125044,2,1,0
12-09-2025,Haryana,Hisar,125049,2,0,0
15-09-2025,Haryana,Hisar,125033,11,0,0
15-09-2025,Haryana,Hisar,125037,1,0,0
15-09-2025,Haryana,Hisar,125042,1,0,0
15-09-2025,Haryana,Hisar,125044,2,0,0
13-09-2025,Haryana,Hisar,125001,10,0,0
13-09-2025,Haryana,Hisar,125005,2,0,0
13-09-2025,Haryana,Hisar,125047,1,0,0
16-09-2025,Haryana,Hisar,125113,3,0,0
16-09-2025,Haryana,Hisar,125121,12,0,0
17-09-2025,Haryana,Hisar,125042,2,0,0
17-09-2025,Haryana,Hisar,125121,12,1,0
20-09-2025,Haryana,Hisar,125001,15,1,0
20-09-2025,Haryana,Hisar,125033,6,0,0
20-09-2025,Haryana,Hisar,125052,4,0,0
19-09-2025,Haryana,Hisar,125038,2,0,0
19-09-2025,Haryana,Hisar,125042,4,1,0
18-09-2025,Haryana,Hisar,125001,17,2,0
18-09-2025,Haryana,Hisar,125121,3,0,0
22-09-2025,Haryana,Hisar,125033,4,0,0
22-09-2025,Haryana,Hisar,125052,2,0,0
24-09-2025,Haryana,Hisar,125037,1,0,0
24-09-2025,Haryana,Hisar,125052,10,1,0
25-09-2025,Haryana,Hisar,125039,4,0,0
25-09-2025,Haryana,Hisar,125112,4,0,0
25-09-2025,Haryana,Hisar,125121,9,0,0
27-09-2025,Haryana,Hisar,125004,1,0,0
27-09-2025,Haryana,Hisar,125113,2,0,0
29-09-2025,Haryana,Hisar,125044,1,0,0
26-09-2025,Haryana,Hisar,125039,1,0,0
26-09-2025,Haryana,Hisar,125047,1,0,0
26-09-2025,Haryana,Hisar,125113,3,0,0
13-10-2025,Haryana,Hisar,125039,5,0,0
16-10-2025,Haryana,Hisar,125033,4,0,0
16-10-2025,Haryana,Hisar,125049,1,0,0
16-10-2025,Haryana,Hisar,125052,1,0,0
16-10-2025,Haryana,Hisar,125121,6,0,0
15-10-2025,Haryana,Hisar,125038,2,0,0
18-10-2025,Haryana,Hisar,125006,2,0,0
18-10-2025,Haryana,Hisar,125037,1,0,0
18-10-2025,Haryana,Hisar,125113,4,0,0
18-10-2025,Haryana,Hisar,125121,14,0,0
17-10-2025,Haryana,Hisar,125044,6,1,0
17-10-2025,Haryana,Hisar,125048,2,0,0
17-10-2025,Haryana,Hisar,125052,14,1,0
19-10-2025,Haryana,Hisar,125050,1,0,0
19-10-2025,Haryana,Hisar,125113,4,0,0
24-10-2025,Haryana,Hisar,125047,3,0,0
24-10-2025,Haryana,Hisar,125052,4,0,0
24-10-2025,Haryana,Hisar,125121,1,0,0
27-10-2025,Haryana,Hisar,125005,2,0,0
28-10-2025,Haryana,Hisar,125006,1,0,0
28-10-2025,Haryana,Hisar,125044,5,0,0
25-10-2025,Haryana,Hisar,125005,2,0,0
25-10-2025,Haryana,Hisar,125044,2,0,0
25-10-2025,Haryana,Hisar,125050,1,0,0
25-10-2025,Haryana,Hisar,125121,15,0,0
30-10-2025,Haryana,Hisar,125004,6,0,0
30-10-2025,Haryana,Hisar,125005,3,1,0
30-10-2025,Haryana,Hisar,125042,9,2,0
29-10-2025,Haryana,Hisar,125001,9,1,0
29-10-2025,Haryana,Hisar,125112,1,0,0
05-11-2025,Haryana,Hisar,125052,4,0,0
06-11-2025,Haryana,Hisar,125004,0,1,0
06-11-2025,Haryana,Hisar,125005,2,0,0
06-11-2025,Haryana,Hisar,125037,1,0,0
08-11-2025,Haryana,Hisar,125001,23,1,0
08-11-2025,Haryana,Hisar,125047,5,0,0
08-11-2025,Haryana,Hisar,125112,1,0,0
07-11-2025,Haryana,Hisar,125005,1,0,0
07-11-2025,Haryana,Hisar,125033,7,2,0
07-11-2025,Haryana,Hisar,125047,1,0,0
07-11-2025,Haryana,Hisar,125112,3,0,0
07-11-2025,Haryana,Hisar,125121,4,1,0
09-11-2025,Haryana,Hisar,125001,13,0,0
09-11-2025,Haryana,Hisar,125044,1,0,0
09-11-2025,Haryana,Hisar,125121,4,0,0
10-11-2025,Haryana,Hisar,125006,2,0,0
10-11-2025,Haryana,Hisar,125039,5,0,0
10-11-2025,Haryana,Hisar,125042,3,0,0
10-11-2025,Haryana,Hisar,125052,6,1,0
14-11-2025,Haryana,Hisar,125004,1,0,0
14-11-2025,Haryana,Hisar,125006,1,0,0
14-11-2025,Haryana,Hisar,125033,9,1,0
14-11-2025,Haryana,Hisar,125039,5,0,0
14-11-2025,Haryana,Hisar,125042,3,0,0
14-11-2025,Haryana,Hisar,125044,2,0,0
14-11-2025,Haryana,Hisar,127041,1,0,0
13-11-2025,Haryana,Hisar,125001,6,1,0
13-11-2025,Haryana,Hisar,125047,1,0,0
31-10-2025,Haryana,Hisar,125042,2,0,0
31-10-2025,Haryana,Hisar,125044,1,0,0
31-10-2025,Haryana,Hisar,125052,7,0,0
31-10-2025,Haryana,Hisar,125113,6,0,0
01-11-2025,Haryana,Hisar,125042,1,0,0
02-11-2025,Haryana,Hisar,125047,2,0,0
03-11-2025,Haryana,Hisar,125038,1,0,0
03-11-2025,Haryana,Hisar,125112,1,0,0
12-11-2025,Haryana,Hisar,125005,1,0,0
12-11-2025,Haryana,Hisar,125038,1,0,0
12-11-2025,Haryana,Hisar,125039,3,0,1
12-11-2025,Haryana,Hisar,125042,5,0,0
12-11-2025,Haryana,Hisar,125044,1,0,0
11-11-2025,Haryana,Hisar,125001,23,1,0
11-11-2025,Haryana,Hisar,125042,1,0,0
15-11-2025,Haryana,Hisar,125001,42,5,0
15-11-2025,Haryana,Hisar,125006,4,0,0
15-11-2025,Haryana,Hisar,125033,12,0,0
15-11-2025,Haryana,Hisar,125039,14,0,0
15-11-2025,Haryana,Hisar,125042,7,0,0
15-11-2025,Haryana,Hisar,125048,1,0,0
15-11-2025,Haryana,Hisar,125049,2,1,0
15-11-2025,Haryana,Hisar,125112,3,1,0
16-11-2025,Haryana,Hisar,125039,9,0,0
16-11-2025,Haryana,Hisar,125049,4,1,0
16-11-2025,Haryana,Hisar,125113,3,0,0
18-11-2025,Haryana,Hisar,125044,2,0,0
18-11-2025,Haryana,Hisar,125049,4,0,0
18-11-2025,Haryana,Hisar,125052,8,0,0
18-11-2025,Haryana,Hisar,125113,4,0,0
18-11-2025,Haryana,Hisar,125121,2,0,0
17-11-2025,Haryana,Hisar,125005,0,1,0
17-11-2025,Haryana,Hisar,125033,9,1,0
17-11-2025,Haryana,Hisar,125042,2,0,0
19-11-2025,Haryana,Hisar,125006,3,0,0
19-11-2025,Haryana,Hisar,125052,12,1,0
25-11-2025,Haryana,Hisar,125049,4,0,1
15-12-2025,Haryana,Hisar,125038,3,0,0
15-12-2025,Haryana,Hisar,125042,8,0,0
15-12-2025,Haryana,Hisar,125047,3,0,0
15-12-2025,Haryana,Hisar,125049,3,0,0
22-12-2025,Haryana,Hisar,125004,3,0,0
22-12-2025,Haryana,Hisar,125005,3,0,0
22-12-2025,Haryana,Hisar,125039,10,0,0
22-12-2025,Haryana,Hisar,125121,22,0,0
21-12-2025,Haryana,Hisar,125001,12,0,0
21-12-2025,Haryana,Hisar,125004,1,0,0
21-12-2025,Haryana,Hisar,125044,1,0,0
