date,state,district,pincode,age_0_5,age_5_17,age_18_greater,total_biometric,month,year
9/1/25,Maharashtra,Nagpur,440009,3,0,0,0,9,2025
9/1/25,Maharashtra,Nagpur,440015,2,0,0,0,9,2025
9/1/25,Maharashtra,Nagpur,440025,2,0,1,1,9,2025
9/1/25,Maharashtra,Nagpur,440026,3,1,0,1,9,2025
9/1/25,Maharashtra,Nagpur,440035,3,0,0,0,9,2025
9/1/25,Maharashtra,Nagpur,441104,2,0,0,0,9,2025
4/1/25,Maharashtra,Nagpur,440034,192,13,20,33,4,2025
5/1/25,Maharashtra,Nagpur,440034,166,18,12,30,5,2025
9/3/25,Maharashtra,Nagpur,440008,6,1,0,1,9,2025
9/3/25,Maharashtra,Nagpur,440010,2,0,0,0,9,2025
9/3/25,Maharashtra,Nagpur,440023,8,0,0,0,9,2025
9/3/25,Maharashtra,Nagpur,440024,1,1,0,1,9,2025
9/3/25,Maharashtra,Nagpur,440027,4,0,0,0,9,2025
9/3/25,Maharashtra,Nagpur,441306,2,0,0,0,9,2025
9/2/25,Maharashtra,Nagpur,440002,4,0,0,0,9,2025
9/2/25,Maharashtra,Nagpur,440003,1,0,0,0,9,2025
9/2/25,Maharashtra,Nagpur,440013,5,3,0,3,9,2025
9/2/25,Maharashtra,Nagpur,440017,4,2,0,2,9,2025
9/2/25,Maharashtra,Nagpur,440032,1,1,0,1,9,2025
9/2/25,Maharashtra,Nagpur,441102,3,0,0,0,9,2025
9/2/25,Maharashtra,Nagpur,441103,3,0,0,0,9,2025
9/2/25,Maharashtra,Nagpur,441104,3,0,0,0,9,2025
9/2/25,Maharashtra,Nagpur,441107,3,0,0,0,9,2025
9/2/25,Maharashtra,Nagpur,441202,2,0,0,0,9,2025
9/2/25,Maharashtra,Nagpur,441302,4,0,0,0,9,2025
9/2/25,Maharashtra,Nagpur,441401,6,2,0,2,9,2025
9/5/25,Maharashtra,Nagpur,440024,1,0,0,0,9,2025
9/5/25,Maharashtra,Nagpur,440034,0,1,0,1,9,2025
9/6/25,Maharashtra,Nagpur,440017,3,2,0,2,9,2025
9/6/25,Maharashtra,Nagpur,440026,2,0,1,1,9,2025
9/6/25,Maharashtra,Nagpur,440036,1,0,0,0,9,2025
9/6/25,Maharashtra,Nagpur,441001,3,1,0,1,9,2025
