date,state,district,pincode,age_0_5,age_5_17,age_18_greater
02-09-2025,Orissa,Puri,752002,1,0,0
01-09-2025,Orissa,Puri,752107,0,1,0
01-09-2025,Orissa,Puri,752118,1,0,0
04-09-2025,Orissa,Puri,752106,1,0,0
04-09-2025,Orissa,Puri,752110,1,0,0
06-09-2025,Orissa,Puri,752011,1,0,0
08-09-2025,Orissa,Puri,752109,1,1,0
09-09-2025,Orissa,Puri,752106,0,1,0
09-09-2025,Orissa,Puri,752110,1,0,0
10-09-2025,Orissa,Puri,752046,1,0,0
10-09-2025,Orissa,Puri,752106,1,0,0
12-09-2025,Orissa,Puri,752014,0,1,0
15-09-2025,Orissa,Puri,752014,1,0,0
18-09-2025,Orissa,Puri,752105,1,0,0
18-09-2025,Orissa,Puri,752109,1,0,0
18-09-2025,Orissa,Puri,752111,1,0,0
22-09-2025,Orissa,Puri,752016,1,0,0
23-09-2025,Orissa,Puri,752060,1,0,0
24-09-2025,Orissa,Puri,751002,1,0,0
24-09-2025,Orissa,Puri,752045,1,0,0
13-10-2025,Orissa,Puri,752012,1,0,0
13-10-2025,Orissa,Puri,752105,1,0,0
13-10-2025,Orissa,Puri,752114,1,0,0
15-10-2025,Orissa,Puri,752046,1,0,0
09-11-2025,Orissa,Puri,752113,1,0,0
10-11-2025,Orissa,Puri,752111,1,0,0
01-11-2025,Orissa,Puri,752114,1,0,0
02-11-2025,Orissa,Puri,752014,4,0,0
03-11-2025,Orissa,Puri,752014,1,0,0
12-11-2025,Orissa,Puri,752108,1,0,0
19-11-2025,Orissa,Puri,752016,1,0,0
15-12-2025,Orissa,Puri,752014,2,0,0
15-12-2025,Orissa,Puri,752016,1,0,0
15-12-2025,Orissa,Puri,752106,1,0,0
21-12-2025,Orissa,Puri,752105,1,0,0
22-12-2025,Orissa,Puri,752016,1,0,0
22-12-2025,Orissa,Puri,752030,1,0,0
25-12-2025,Orissa,Puri,752104,1,0,0
29-12-2025,Orissa,Puri,752014,2,0,0
31-12-2025,Orissa,Puri,752016,1,0,0
01-01-2026,Orissa,Puri,752011,1,1,0
01-01-2026,Orissa,Puri,752014,3,0,0
01-01-2026,Orissa,Puri,752016,1,0,0
03-01-2026,Orissa,Puri,752106,0,1,0
09-06-2025,Orissa,Puri,752016,1,0,0
09-06-2025,Orissa,Puri,752116,0,1,0
12-06-2025,Orissa,Puri,752106,2,0,0
14-06-2025,Orissa,Puri,752106,1,0,0
06-09-2025,Orissa,Puri,752015,1,0,0
06-09-2025,Orissa,Puri,752119,1,0,0
09-09-2025,Orissa,Puri,752109,1,0,0
15-09-2025,Orissa,Puri,752110,1,0,0
16-09-2025,Orissa,Puri,752002,1,1,0
17-09-2025,Orissa,Puri,752016,1,0,0
19-09-2025,Orissa,Puri,752119,0,1,0
18-09-2025,Orissa,Puri,752110,1,0,0
20-09-2025,Orissa,Puri,752045,1,0,0
22-09-2025,Orissa,Puri,752109,2,0,0
24-09-2025,Orissa,Puri,752106,1,0,0
26-09-2025,Orissa,Puri,752014,1,0,0
16-10-2025,Orissa,Puri,752014,1,0,0
17-10-2025,Orissa,Puri,752014,2,0,0
18-10-2025,Orissa,Puri,752014,2,0,0
18-10-2025,Orissa,Puri,752116,1,0,0
19-10-2025,Orissa,Puri,752014,2,1,0
24-10-2025,Orissa,Puri,752109,1,0,0
28-10-2025,Orissa,Puri,752045,1,0,0
05-11-2025,Orissa,Puri,752014,1,0,0
03-11-2025,Orissa,Puri,752111,1,0,0
